gene,logP
isogroup11140,0.5
isogroup11141,1.3
isogroup11142,-0.7
isogroup11143,1
isogroup11144,0
isogroup11145,-0.5
isogroup11146,-0.1
isogroup11147,0.2
isogroup11148,2.2
isogroup11149,-0.1
isogroup1115,0.1
isogroup11151,1
isogroup11152,-0.5
isogroup11153,0
isogroup11154,0.4
isogroup11155,0.6
isogroup11156,0.7
isogroup11157,5
isogroup11158,0
isogroup11159,3.4
isogroup1116,2.8
isogroup11160,1.2
isogroup11161,-0.3
isogroup11163,-1.4
isogroup11164,0.4
isogroup11166,0.2
isogroup11167,-0.2
isogroup11168,0
isogroup11169,2.3
isogroup1117,-3.4
isogroup11170,0.1
isogroup11171,-0.2
isogroup11172,0.1
isogroup11173,-0.3
isogroup11174,1
isogroup11175,-0.3
isogroup11176,0.5
isogroup11177,-2.4
isogroup11178,0.5
isogroup11179,1.5
isogroup1118,1
isogroup11180,0.2
isogroup11181,0.5
isogroup11182,0.4
isogroup11183,0.5
isogroup11184,-0.8
isogroup11185,0.1
isogroup11186,3.2
isogroup11187,0.6
isogroup11188,-0.8
isogroup11189,1.2
isogroup1119,10
isogroup11190,0.5
isogroup11191,1.9
isogroup11192,0.1
isogroup11193,1.7
isogroup11194,0.4
isogroup11195,0.1
isogroup11196,-0.1
isogroup11197,0.3
isogroup11198,0.4
isogroup11199,0.5
isogroup112,6.1
isogroup1120,-0.6
isogroup11200,0.3
isogroup11201,0
isogroup11202,0.7
isogroup11203,-3.4
isogroup11204,-1.5
isogroup11205,-0.9
isogroup11206,2.2
isogroup11207,0.8
isogroup11208,-0.4
isogroup11208.1,0
isogroup11209,1.1
